,CO2,Persons,Hour,Light,CO2_Diff
0,390.0,0,10,416,
1,390.0,0,10,414,
2,390.0,0,10,416,
3,390.0,0,10,416,
4,390.0,0,10,418,
5,390.0,0,10,418,
6,390.0,0,10,416,
7,390.0,0,10,418,
8,390.0,0,10,426,
9,390.0,0,10,384,
10,390.0,0,10,428,0.0
11,390.0,0,10,430,0.0
12,390.0,0,10,430,0.0
13,390.0,0,11,430,0.0
14,390.0,0,11,432,0.0
15,390.0,0,11,432,0.0
16,395.0,0,11,430,5.0
17,395.0,0,11,428,5.0
18,395.0,0,11,432,5.0
19,395.0,0,11,432,5.0
20,390.0,0,11,432,0.0
21,395.0,0,11,430,5.0
22,395.0,0,11,432,5.0
23,400.0,0,11,432,10.0
24,400.0,0,11,436,10.0
25,400.0,0,11,432,10.0
26,405.0,0,11,434,10.0
27,410.0,0,11,432,15.0
28,410.0,0,11,432,15.0
29,405.0,0,11,432,10.0
30,405.0,0,11,432,15.0
31,400.0,0,11,432,5.0
32,410.0,0,11,432,15.0
33,410.0,0,11,432,10.0
34,405.0,0,11,432,5.0
35,410.0,0,11,430,10.0
36,410.0,0,11,430,5.0
37,415.0,0,11,432,5.0
38,420.0,0,11,432,10.0
39,425.0,0,11,430,20.0
40,425.0,0,11,430,20.0
41,420.0,0,11,434,20.0
42,420.0,0,11,436,10.0
43,420.0,0,11,434,10.0
44,420.0,0,11,434,15.0
45,425.0,0,11,438,15.0
46,430.0,0,11,442,20.0
47,430.0,0,11,442,15.0
48,435.0,0,11,442,15.0
49,425.0,0,11,440,0.0
50,425.0,0,11,434,0.0
51,420.0,0,11,434,0.0
52,420.0,0,11,440,0.0
53,420.0,0,11,436,0.0
54,435.0,0,11,436,15.0
55,430.0,0,11,434,5.0
56,445.0,0,11,436,15.0
57,440.0,0,11,434,10.0
58,440.0,0,11,434,5.0
59,435.0,0,11,442,10.0
60,430.0,0,11,444,5.0
61,435.0,0,11,442,15.0
62,440.0,0,11,438,20.0
63,445.0,0,11,436,25.0
64,445.0,0,11,436,10.0
65,445.0,0,11,440,15.0
66,445.0,0,11,438,0.0
67,440.0,0,11,440,0.0
68,440.0,0,11,446,0.0
69,445.0,0,11,450,10.0
70,445.0,0,11,452,15.0
71,450.0,0,11,448,15.0
72,450.0,0,11,430,10.0
73,450.0,0,11,430,5.0
74,450.0,0,11,800,5.0
75,450.0,0,11,864,5.0
76,450.0,0,11,904,5.0
77,445.0,0,11,918,5.0
78,445.0,0,11,930,5.0
79,450.0,0,11,934,5.0
80,450.0,0,11,936,5.0
81,455.0,0,11,942,5.0
82,455.0,0,11,932,5.0
83,450.0,0,11,934,0.0
84,450.0,0,11,932,0.0
85,445.0,0,11,932,-5.0
86,450.0,0,11,932,0.0
87,450.0,0,11,934,5.0
88,450.0,0,11,932,5.0
89,460.0,0,11,930,10.0
90,460.0,0,11,932,10.0
91,475.0,0,11,922,20.0
92,480.0,0,11,918,25.0
93,480.0,0,11,922,30.0
94,485.0,0,11,920,35.0
95,490.0,0,11,922,45.0
96,500.0,0,11,926,50.0
97,500.0,0,11,926,50.0
98,500.0,0,11,924,50.0
99,500.0,0,11,924,40.0
100,510.0,0,11,922,50.0
101,510.0,0,11,920,35.0
102,515.0,0,11,918,35.0
103,515.0,0,11,918,35.0
104,515.0,0,11,922,30.0
105,520.0,0,11,924,30.0
106,525.0,0,11,922,25.0
107,530.0,0,11,924,30.0
108,540.0,0,11,922,40.0
109,540.0,0,11,926,40.0
110,545.0,0,11,924,35.0
111,545.0,0,11,924,35.0
112,545.0,0,11,926,30.0
113,550.0,0,11,922,35.0
114,550.0,0,11,922,35.0
115,550.0,0,11,922,30.0
116,555.0,0,11,924,30.0
117,555.0,0,11,924,25.0
118,555.0,0,11,924,15.0
119,555.0,0,11,926,15.0
120,560.0,0,11,922,15.0
121,560.0,0,11,924,15.0
122,560.0,0,11,924,15.0
123,560.0,0,11,924,10.0
