Hour;CO2;Light;CO2_Diff;Persons
late-night;;;;FALSE
night;low;;;FALSE
night;normal;;;FALSE
night;high;off;;FALSE
night;high;normal;;FALSE
night;high;intense;decrease;FALSE
night;high;intense;stable;FALSE
night;high;intense;increase;TRUE
morning;low;off;;FALSE
morning;low;normal;;FALSE
morning;low;intense;;FALSE
morning;normal;off;decrease;FALSE
morning;normal;off;stable;FALSE
morning;normal;off;increase;TRUE
morning;normal;normal;decrease;FALSE
morning;normal;normal;stable;FALSE
morning;normal;normal;increase;FALSE
morning;normal;intense;decrease;FALSE
morning;normal;intense;stable;FALSE
morning;normal;intense;increase;TRUE
morning;high;off;decrease;FALSE
morning;high;off;stable;FALSE
morning;high;off;increase;TRUE
morning;high;normal;decrease;FALSE
morning;high;normal;stable;TRUE
morning;high;normal;increase;TRUE
morning;high;intense;decrease;TRUE
morning;high;intense;stable;TRUE
morning;high;intense;increase;TRUE
